id,produto,channel,free_user,user_plan,t,c
4025,A,44,1,1,29,0
2743,B,11,1,0,2,0
3209,A,44,1,1,0,1
802,A,44,1,1,0,1
2165,B,33,0,1,9,0
3058,A,44,1,1,7,1
2252,A,44,1,1,31,0
3839,B,33,1,0,0,1
5394,A,44,1,1,16,0
2140,B,33,1,1,4,0
85,B,22,1,0,28,0
2723,B,22,1,0,0,1
1628,B,22,1,1,6,0
2038,B,11,1,1,18,0
4765,B,88,0,0,9,0
2098,B,11,0,1,9,0
2727,B,11,0,0,9,0
715,B,33,1,0,1,1
2972,B,33,1,0,0,1
1753,B,77,1,1,21,1
1327,B,22,0,0,9,0
2574,B,77,0,0,9,0
2950,A,44,1,1,16,0
3766,B,33,1,1,6,1
3791,A,33,1,1,11,1
3477,B,88,0,1,9,0
3362,B,88,0,0,9,0
2755,B,11,0,0,9,0
1796,B,22,1,0,9,0
9,B,88,0,1,8,1
1615,A,44,1,1,2,1
4347,B,22,1,0,4,0
2710,B,22,1,0,2,1
2704,B,88,0,0,9,0
1806,B,22,1,0,12,0
5688,B,22,0,0,9,0
3816,B,33,1,1,10,0
3606,B,11,1,1,15,0
3007,A,44,1,1,27,0
3069,B,22,0,0,9,0
1729,B,22,1,1,22,0
5795,B,77,1,1,16,0
78,B,22,1,1,9,0
2254,A,44,1,1,24,0
2083,B,11,0,1,9,0
4134,A,44,1,1,16,0
5356,A,44,1,1,24,0
2557,B,77,1,0,0,1
118,B,11,0,0,8,1
157,B,11,0,1,0,1
329,B,22,0,1,9,0
4024,A,44,1,1,27,0
1379,B,33,1,1,2,1
504,B,22,0,0,9,0
3933,A,44,1,1,7,1
5947,B,88,0,0,9,0
3968,B,33,1,1,13,0
384,B,22,0,0,9,0
3242,A,44,1,1,0,1
3145,A,44,1,1,27,1
411,B,77,1,1,4,1
1533,A,44,0,1,10,1
2846,B,33,1,1,0,1
5619,B,22,1,1,21,0
2869,B,33,1,1,30,0
4419,B,22,1,1,5,0
208,B,33,1,0,1,1
3937,A,44,1,1,10,1
1762,B,22,1,1,5,0
391,A,44,1,1,8,1
549,B,22,1,1,18,0
2001,B,22,1,0,3,1
5108,B,33,1,1,22,0
3284,B,77,0,0,9,0
1399,B,22,1,0,9,0
4639,B,77,1,0,28,0
268,B,22,0,0,9,0
5664,B,22,1,1,9,0
333,B,22,1,1,5,0
725,B,22,0,0,9,0
1376,A,33,1,1,0,1
3836,B,33,1,1,0,1
1289,B,22,1,0,16,0
2317,A,44,1,1,0,1
3332,B,77,1,0,23,0
355,B,22,1,1,15,0
489,B,22,1,1,9,0
2927,B,33,1,1,1,1
1118,B,22,1,1,4,0
3133,A,44,1,1,0,1
5834,B,77,0,0,9,0
3394,B,77,0,0,0,1
2643,B,22,1,0,1,1
3139,B,22,1,1,5,0
95,B,22,0,0,9,0
2062,B,11,0,0,9,0
3763,B,33,1,1,1,1
178,B,22,1,0,2,0
542,B,22,1,1,5,0
2786,B,11,1,1,6,0
2607,B,77,0,1,0,1
407,B,22,1,1,9,0
3268,B,77,1,1,1,1
96,B,11,1,1,28,1
3415,B,77,1,0,0,1
2773,B,11,1,1,19,0
1348,B,33,0,0,0,1
3029,A,44,1,1,24,0
1744,B,77,1,1,1,1
2567,B,77,1,0,1,1
1867,B,22,1,1,21,0
357,B,22,0,1,9,0
582,B,22,1,1,3,1
791,B,33,1,1,0,1
2455,B,77,1,0,1,1
5915,B,77,0,0,9,0
5005,B,11,1,0,6,0
979,B,22,1,1,9,0
3932,B,33,1,0,13,0
1674,B,22,1,1,8,0
5447,A,44,1,1,30,0
1057,B,77,1,1,24,1
5014,B,11,0,1,9,0
2953,A,44,1,1,31,0
2227,A,44,1,1,12,1
2314,A,44,1,1,9,0
5819,B,77,0,0,9,0
2838,B,33,0,1,9,0
808,A,44,1,1,12,1
163,B,22,1,1,25,0
3852,B,33,1,1,0,1
234,B,22,1,1,22,0
3348,B,77,1,0,0,1
4518,B,77,0,0,9,0
3846,B,33,1,1,0,1
3210,B,77,0,0,9,0
3845,B,33,1,1,10,0
2346,A,66,1,1,6,0
570,B,22,1,1,18,0
4441,B,77,0,1,9,0
4835,B,88,0,0,9,0
4667,B,88,1,0,9,0
82,B,11,1,0,0,1
1092,B,77,1,1,25,1
1881,B,22,1,0,5,0
1030,B,22,1,1,25,0
897,B,22,1,0,5,0
1520,B,22,1,1,5,0
2052,B,22,0,2,0,1
55,B,22,0,1,9,0
1162,B,77,0,0,1,1
3002,B,33,1,0,0,1
3213,B,77,1,1,31,0
1729,B,77,1,1,10,1
61,B,22,1,1,15,0
4813,B,88,0,0,9,0
2694,B,22,0,0,0,1
1742,B,22,0,1,9,0
5920,B,77,0,0,9,0
5489,A,44,1,1,9,0
778,B,33,1,0,0,1
1268,B,22,0,0,9,0
5140,B,33,1,0,1,0
1213,B,77,1,0,0,1
874,A,44,1,1,17,1
2123,B,33,1,1,10,0
5667,B,22,1,1,7,0
2311,A,44,1,1,25,0
739,B,33,1,1,0,1
2197,A,44,1,1,7,1
3038,B,33,1,1,0,1
293,B,22,1,1,24,0
5668,B,22,1,0,5,0
3307,B,77,1,0,1,0
3265,A,44,1,1,0,1
4886,B,11,0,0,9,0
1739,B,22,1,0,9,0
4907,B,11,1,1,23,0
201,B,22,0,0,9,0
446,B,22,1,1,8,0
5813,B,77,0,0,9,0
2264,A,44,1,1,22,0
3914,B,33,0,1,9,0
2595,B,77,0,1,0,1
5774,B,77,0,1,9,0
1961,B,99,0,0,9,0
1075,B,22,1,1,15,0
1384,B,33,0,1,0,1
2024,B,11,1,0,22,0
1716,B,22,1,0,9,0
598,B,22,1,0,0,1
3955,A,44,1,1,0,1
1204,B,22,1,1,4,0
5223,B,33,1,1,24,0
1979,A,0,1,0,30,0
2516,B,77,1,0,0,1
1511,B,22,1,1,22,0
2257,A,44,1,1,25,0
5160,B,33,0,1,9,0
1151,B,22,0,0,9,0
1071,B,77,1,0,0,1
2048,B,11,1,1,17,0
1701,B,77,1,0,0,1
5406,A,44,1,1,16,0
4026,A,44,1,1,25,0
4152,A,44,1,1,25,0
2304,A,44,1,1,10,1
3611,B,22,1,0,2,1
5033,B,11,0,1,17,0
3971,B,33,0,1,9,0
3843,B,33,1,1,3,1
4726,B,88,0,0,9,0
4669,B,88,0,1,9,0
2796,B,22,1,0,0,1
3417,B,88,0,0,9,0
330,B,22,0,0,9,0
3231,A,44,1,1,10,1
2818,B,22,1,1,1,1
1477,B,22,1,1,15,0
3566,B,88,0,0,9,0
2853,B,33,1,1,0,1
2377,A,44,1,1,0,1
3556,B,22,1,0,1,1
1595,A,44,1,1,0,1
2005,B,11,1,1,30,0
567,B,22,0,0,9,0
569,B,22,1,1,8,0
597,B,22,1,1,8,0
810,A,44,1,1,3,1
2417,B,22,1,1,15,0
2219,A,44,1,1,0,1
1726,B,22,0,0,9,0
1517,A,44,1,1,0,1
3184,A,44,1,1,7,1
4824,B,88,0,0,9,0
3747,B,11,1,1,31,0
673,B,22,0,0,9,0
1741,B,77,0,0,2,1
4397,B,22,1,0,4,0
885,A,44,1,1,19,1
3239,B,77,0,0,9,0
1894,B,99,0,0,9,0
1281,B,22,1,1,9,0
1761,B,22,1,1,4,0
1497,A,44,1,1,7,1
2745,B,11,0,1,9,0
4966,B,11,0,0,9,0
4341,B,22,1,1,20,0
3870,B,33,1,1,23,0
3767,B,33,1,0,0,1
2007,B,22,1,1,15,1
4475,B,77,0,0,9,0
2741,B,22,0,1,4,1
3257,A,44,1,1,0,1
901,A,44,1,1,0,1
2555,B,77,0,0,9,0
3006,B,33,1,1,0,1
1094,B,22,1,1,9,0
4954,B,11,0,0,9,0
8,B,22,1,0,13,0
3750,B,33,1,1,0,1
4816,B,88,0,0,9,0
3514,B,88,0,1,9,0
5608,B,22,1,1,8,0
3348,B,77,1,1,12,0
5535,B,22,1,1,9,0
919,B,22,0,0,9,0
2391,A,44,1,1,17,1
1357,B,22,1,1,25,0
3026,A,44,1,1,25,0
255,B,33,1,1,0,1
1829,B,22,1,1,9,0
246,B,22,0,0,9,0
871,A,44,1,1,0,1
1251,B,22,1,0,9,0
710,B,33,1,0,0,1
322,B,22,1,1,8,0
1501,A,44,1,1,10,1
1333,B,33,1,1,0,1
1091,B,22,1,1,26,0
2947,B,33,1,1,0,1
3025,A,44,1,1,25,0
2191,B,33,1,0,0,1
5573,B,22,1,1,21,0
24,B,22,0,0,9,0
3451,B,77,1,0,0,1
677,B,22,0,1,9,0
1969,B,22,1,1,5,1
198,B,22,1,1,9,0
5117,B,33,1,1,9,0
929,B,22,0,0,9,0
1157,B,22,0,0,9,0
3372,B,88,0,1,9,0
3825,B,33,1,1,0,1
2292,A,44,1,1,0,1
3651,B,11,0,1,9,0
2473,B,77,1,0,0,1
5782,B,77,0,0,9,0
2568,B,77,0,0,9,0
3136,A,44,1,1,0,1
1743,B,77,0,0,2,1
628,B,22,1,0,5,0
634,B,22,1,1,9,0
1306,B,22,0,0,9,0
3938,A,44,1,1,10,1
1215,B,22,0,0,9,0
2772,B,22,1,0,0,1
2613,B,77,0,1,0,1
891,A,44,1,1,0,1
2312,A,44,1,1,0,1
28,B,22,1,1,9,0
180,B,22,1,1,15,0
1039,B,77,1,0,0,1
3317,B,77,1,0,0,1
2159,B,33,1,0,0,1
175,B,11,0,1,0,1
749,B,22,1,1,21,0
3133,B,22,0,0,9,0
4590,B,77,1,0,11,0
5309,A,44,1,1,25,0
327,A,44,1,1,0,1
2360,A,66,1,1,7,0
610,B,22,1,0,0,1
3070,A,44,1,1,0,1
3604,B,22,1,1,18,1
3552,B,88,0,0,9,0
1767,B,77,0,0,4,1
3381,B,77,1,0,1,1
2461,B,22,0,0,9,0
931,B,22,1,1,24,0
1862,B,22,1,0,17,0
2489,B,22,1,1,26,0
1578,A,44,1,1,12,1
1021,B,22,0,0,9,0
4692,B,88,0,0,9,0
2173,B,33,1,1,13,0
1380,B,22,1,1,12,0
1883,B,22,1,1,8,0
2447,B,22,1,1,15,0
4139,A,44,1,1,24,0
2003,B,11,0,0,9,0
1545,B,22,1,0,1,0
531,B,22,1,1,5,0
2316,A,44,1,1,0,1
2010,B,11,0,0,9,0
1043,B,77,1,0,0,1
1115,B,22,1,0,9,0
706,B,33,1,1,0,1
801,B,22,1,1,18,0
405,B,77,1,1,1,1
2600,B,88,0,0,9,0
394,B,77,0,2,7,1
5596,B,22,1,1,9,0
708,B,33,1,1,0,1
3099,A,44,1,1,10,1
3155,B,77,1,1,10,0
4365,B,22,1,1,3,0
3761,B,33,1,0,0,1
5464,A,44,1,1,9,0
