Title,Address,Wohnungstyp,Etage,Wohnflaeche,Bezugsfrei_ab,Zimmer,Schlafzimmer,Badezimmer,District,Haustiere,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution_o_genossenschaftsanteile,Agency,URL
"Wedding 1 Zimmer, Waschtrockner, Einbauküche, Balkon","Hussitenstraße 6, 13355 Berlin, Wedding (Wedding)", ,4 von 6,"30,4 m²",sofort,1, , , , ,730 €,+ 40 €,+ 30 €,800 €, , ,http://www.immobilienscout24.de/expose/108725988
"Schöne, modernisierte Wohnung in Schmargendorf !","Sodener Str. 15, 14197 Berlin, Wilmersdorf (Wilmersdorf)", ,2,"42,02 m²",01.12.2018,1, ,1, , ,620 €,+ 130 €,in Nebenkosten enthalten,750 €, , ,http://www.immobilienscout24.de/expose/108519930
+Altbauwohnung im Vorderhaus mit EBK in TOP LAGE+,"Eichendorffstr. 4, 10115 Berlin, Mitte (Mitte)", ,3 von 5,84 m²,sofort,3, , , , ,1.450 €,+ 170 €,nicht in Nebenkosten enthalten,1.620 € (zzgl. Heizkosten), , ,http://www.immobilienscout24.de/expose/108725909
3-Zimmer-Luxuswohnung nahe am Kurfürstendamm,10709 Berlin / Wilmersdorf Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter., ,2 von 7,93 m², ,3,2,2, , ,1.767 €,+ 281 €,in Nebenkosten enthalten,2.048 €, , ,http://www.immobilienscout24.de/expose/107941368
Neu sanierte 3 Zimmer Wohnung mit Balkon im Prenzlauer Berg - frei ab sofort,"Schönhauser Allee 56, 10437 Berlin, Prenzlauer Berg (Prenzlauer Berg)", ,2 von 5,"83,84 m²",sofort,3,2,1, ,Nach Vereinbarung,1.090 €,+ 95 €,+ 95 €,1.280 €, , ,http://www.immobilienscout24.de/expose/108617880
sanierte 4-Zimmerwohnung mit Balkon und EBK *WG-geeignet*,"Manitiusstraße 13, 12047 Berlin, Neukölln (Neukölln)", ,2 von 5,"101,29 m²",01.01.2019,4,3,1, ,Nach Vereinbarung,"1.499,09 €","+ 194,48 €","+ 62,80 €","1.756,37 €", , ,http://www.immobilienscout24.de/expose/107886505
Möblierte 2 Zimmerwohnung #Stellplatz #Toplage #Concierge #Gym - Bezugsfrei,"Scharnhorststraße 7, 10115 Berlin, Mitte (Mitte)", ,2,70 m²,ab sofort,2,1,1, ,Nein,1.300 €,+ 600 €,in Nebenkosten enthalten,1.900 €, , ,http://www.immobilienscout24.de/expose/108598365
Top modernisierte Drei- Zimmer- Wohnung mit Balkon im kernsanierten Altbau,"Rennbahnstraße 27, 13086 Berlin, Weißensee (Weißensee)", ,3 von 4,101 m²,01.01.2019,3,2,2, ,Nach Vereinbarung,1.313 €,+ 170 €,inkl. 80 €,1.563 €, , ,http://www.immobilienscout24.de/expose/82534112
*WG geeignet* 3 Zimmerwohnung mit großer Terrasse + EBK in Kreuzkölln,"Manitiusstraße 12, 12047 Neukölln, Neukölln (Neukölln)", ,0 von 5,79 m²,01.01.2019,3,1,1, ,Nach Vereinbarung,"1.097,86 €","+ 152,47 €","+ 49,23 €","1.299,56 €", , ,http://www.immobilienscout24.de/expose/108833663
Helle Luxus 4-Zimmer Wohnung mit breitem Aussicht !,"Paul-Robeson-Str. 1A, 10439 Berlin, Prenzlauer Berg (Prenzlauer Berg)", ,5,"119,16 m²",02.10.2018,4, ,2, , ,2.850 €,+ 151 €,nicht in Nebenkosten enthalten,3.001 € (zzgl. Heizkosten), , ,http://www.immobilienscout24.de/expose/107573687
Süße und voll renovierte 2-Zimmer Wohnung am Schloss Charlottenbourg !,"Klausener Platz 11, 14059 Berlin, Charlottenburg (Charlottenburg)", ,1,"50,23 m²",07.12.2018,2, ,1, , ,698 €,+ 113 €,in Nebenkosten enthalten,811 €, , ,http://www.immobilienscout24.de/expose/108799758
Gründerzeit pur auf 180 m²,"Bundesplatz 14, 10715 Berlin, Wilmersdorf (Wilmersdorf)", ,3 von 5,180 m²,sofort,6, ,2, ,Nach Vereinbarung,1.680 €,+ 200 €,+ 170 €,2.050 €, , ,http://www.immobilienscout24.de/expose/106845759
